order_item_id,order_id,product_id,sku,name,category_name,brand,quantity,price,original_price,total_price,rating,review
ORI-000001,ORD-251206-0001,SSD-002,WD-BLACK-SN850X-1TB,SSD WD Black SN850X 1TB NVMe M.2 PCIe Gen4,SSD - Ổ cứng thể rắn,Western Digital,1,2190000,2500000,2190000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000002,ORD-251206-0001,MB-003,GIGABYTE-X670E-AORUS-MASTER,"Mainboard GIGABYTE X670E AORUS Master (AM5, DDR5, ATX)",Mainboard - Bo mạch chủ,GIGABYTE,1,11490000,13000000,11490000,4,"Hiệu năng tốt trong tầm giá, dùng mượt mà không lỗi lầm gì."
ORI-000003,ORD-260329-0002,HEADSET-001,CORSAIR-VIRTUOSO-RGB-XT,Tai nghe gaming Corsair Virtuoso RGB Wireless XT,Tai nghe - Headset,Corsair,1,4290000,5000000,4290000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000004,ORD-260329-0002,MONITOR-002,SAMSUNG-ODYSSEY-G7-32-4K,"Màn hình Samsung Odyssey G7 32"" 4K UHD 144Hz IPS",Màn hình - Monitor,Samsung,1,12990000,15000000,12990000,4,"Sản phẩm tốt, nhân viên tư vấn nhiệt tình, sẽ tiếp tục ủng hộ."
ORI-000005,ORD-251105-0003,COOL-003,DEEPCOOL-AK620-DIGITAL,"Tản nhiệt khí DeepCool AK620 Digital (Dual Tower, 2x120mm)",Tản nhiệt - Cooling,Deepcool,1,1490000,1800000,1490000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000006,ORD-251210-0004,CPU-001,INTEL-I9-14900K,"CPU Intel Core i9-14900K (3.2GHz Turbo 6.0GHz, 24 nhân 32 luồng)",CPU - Bộ vi xử lý,Intel,1,12990000,14500000,12990000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000007,ORD-251210-0004,CASE-002,JONSBO-D41-MESH,"Vỏ Case Jonsbo D41 Mesh Screen (Mid Tower, ATX, Màn hình LCD)",Case - Vỏ máy tính,Jonsbo,1,2290000,2600000,2290000,5,"Hàng chuẩn GearVN, nguyên seal mới cứng, bảo hành đầy đủ. Vote 5 sao!"
ORI-000008,ORD-260103-0005,KB-002,RAZER-BLACKWIDOW-V4-75,Bàn phím cơ Razer BlackWidow V4 75% (Razer Yellow Switch),Bàn phím - Keyboard,Razer,1,3290000,3800000,3290000,5,"Thiết kế đẹp mắt, hiệu năng vượt trội so với tầm giá. Rất hài lòng!"
ORI-000009,ORD-251202-0006,RAM-004,CORSAIR-DDR5-64GB-6400,RAM Corsair Vengeance DDR5 64GB (2x32GB) 6400MHz CL32,RAM - Bộ nhớ trong,Corsair,1,6490000,7500000,6490000,1,"Sản phẩm bị lỗi hỏng ngay khi bóc hộp, không lên nguồn. Dịch vụ tệ."
ORI-000010,ORD-251202-0006,COOL-002,THERMALRIGHT-PHANTOM-SPIRIT-120,Tản nhiệt khí Thermalright Phantom Spirit 120 SE ARGB,Tản nhiệt - Cooling,Thermalright,1,990000,1200000,990000,4,"Sản phẩm tốt, nhân viên tư vấn nhiệt tình, sẽ tiếp tục ủng hộ."
ORI-000011,ORD-250816-0007,RAM-001,CORSAIR-DDR5-32GB-6000,RAM Corsair Dominator Titanium DDR5 32GB (2x16GB) 6000MHz,RAM - Bộ nhớ trong,Corsair,1,3990000,4500000,3990000,5,"Hàng chuẩn GearVN, nguyên seal mới cứng, bảo hành đầy đủ. Vote 5 sao!"
ORI-000012,ORD-251206-0008,GPU-004,ASUS-RX7900XTX-24G,VGA ASUS TUF Gaming Radeon RX 7900 XTX OC 24GB,VGA - Card màn hình,ASUS,1,22990000,25000000,22990000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000013,ORD-260510-0009,GPU-003,GIGABYTE-RTX4070-SUPER-12G,VGA GIGABYTE GeForce RTX 4070 Super Gaming OC 12GB,VGA - Card màn hình,GIGABYTE,1,16490000,18500000,16490000,5,"Thiết kế đẹp mắt, hiệu năng vượt trội so với tầm giá. Rất hài lòng!"
ORI-000014,ORD-260510-0009,SSD-004,CRUCIAL-P5-PLUS-500GB,SSD Crucial P5 Plus 500GB NVMe M.2 PCIe Gen4,SSD - Ổ cứng thể rắn,Crucial,1,990000,1200000,990000,5,"Sản phẩm cực kỳ chất lượng, đóng gói cẩn thận, giao hàng nhanh."
ORI-000015,ORD-251119-0010,CASE-002,JONSBO-D41-MESH,"Vỏ Case Jonsbo D41 Mesh Screen (Mid Tower, ATX, Màn hình LCD)",Case - Vỏ máy tính,Jonsbo,1,2290000,2600000,2290000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000016,ORD-250801-0011,RAM-002,GSKILL-DDR5-32GB-6000,RAM G.Skill Trident Z5 RGB DDR5 32GB (2x16GB) 6000MHz CL30,RAM - Bộ nhớ trong,G.Skill,1,3690000,4200000,3690000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000017,ORD-250801-0011,GPU-003,GIGABYTE-RTX4070-SUPER-12G,VGA GIGABYTE GeForce RTX 4070 Super Gaming OC 12GB,VGA - Card màn hình,GIGABYTE,1,16490000,18500000,16490000,5,"Rất đáng tiền, chạy mượt mà, chính hãng 100%."
ORI-000018,ORD-251114-0012,SSD-003,KINGSTON-KC3000-1TB,SSD Kingston KC3000 1TB NVMe M.2 PCIe Gen4,SSD - Ổ cứng thể rắn,Kingston,1,1890000,2200000,1890000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000019,ORD-250811-0013,KB-002,RAZER-BLACKWIDOW-V4-75,Bàn phím cơ Razer BlackWidow V4 75% (Razer Yellow Switch),Bàn phím - Keyboard,Razer,1,3290000,3800000,3290000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000020,ORD-260114-0014,RAM-001,CORSAIR-DDR5-32GB-6000,RAM Corsair Dominator Titanium DDR5 32GB (2x16GB) 6000MHz,RAM - Bộ nhớ trong,Corsair,1,3990000,4500000,3990000,4,"Hiệu năng tốt trong tầm giá, dùng mượt mà không lỗi lầm gì."
ORI-000021,ORD-260114-0014,HDD-001,SEAGATE-BARRACUDA-4TB,"Ổ cứng HDD Seagate Barracuda 4TB 3.5"" SATA 5400RPM",HDD - Ổ cứng cơ,Seagate,1,2190000,2500000,2190000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000022,ORD-251129-0015,CPU-005,AMD-R7-7700X,"CPU AMD Ryzen 7 7700X (4.5GHz Turbo 5.4GHz, 8 nhân 16 luồng)",CPU - Bộ vi xử lý,AMD,1,6890000,7500000,6890000,5,"Lắp đặt dễ dàng, chạy êm ái và mát mẻ. Shop hỗ trợ nhiệt tình."
ORI-000023,ORD-260209-0016,COOL-002,THERMALRIGHT-PHANTOM-SPIRIT-120,Tản nhiệt khí Thermalright Phantom Spirit 120 SE ARGB,Tản nhiệt - Cooling,Thermalright,1,990000,1200000,990000,5,"Thiết kế đẹp mắt, hiệu năng vượt trội so với tầm giá. Rất hài lòng!"
ORI-000024,ORD-260405-0017,GPU-005,MSI-RTX4060-TI-8G-VENTUS,VGA MSI GeForce RTX 4060 Ti 8G Ventus 2X OC,VGA - Card màn hình,MSI,1,9490000,11000000,9490000,4,"Hiệu năng tốt trong tầm giá, dùng mượt mà không lỗi lầm gì."
ORI-000025,ORD-260405-0017,CPU-006,INTEL-I3-14100F,"CPU Intel Core i3-14100F (3.5GHz Turbo 4.7GHz, 4 nhân 8 luồng)",CPU - Bộ vi xử lý,Intel,1,2490000,2800000,2490000,5,"Hàng chuẩn GearVN, nguyên seal mới cứng, bảo hành đầy đủ. Vote 5 sao!"
